sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,traveltime,studytime,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
F,16,U,LE3,T,4,4,teacher,teacher,1,2,yes,no,no,yes,yes,no,4,5,2,1,2,3,0
F,16,U,GT3,T,4,3,health,other,1,2,yes,no,yes,yes,yes,no,4,3,5,1,5,2,2
F,16,U,GT3,T,2,3,other,other,1,2,yes,no,yes,yes,no,no,4,4,3,1,3,4,4
F,17,U,GT3,T,1,1,other,other,1,2,yes,no,no,yes,no,no,4,4,4,1,3,1,0
F,17,R,GT3,T,2,2,other,other,1,1,yes,no,no,yes,yes,no,5,3,2,1,2,3,21
F,16,R,GT3,T,2,2,services,services,2,4,yes,no,yes,yes,yes,no,5,3,5,1,1,5,6
F,17,U,GT3,T,3,4,at_home,services,1,3,yes,yes,no,yes,yes,yes,4,4,3,3,4,5,14
F,16,U,GT3,A,3,1,services,other,1,2,yes,no,no,yes,yes,no,2,3,3,2,2,4,2
F,16,U,GT3,T,4,3,teacher,other,1,2,no,no,yes,yes,yes,yes,1,3,2,1,1,1,4
F,16,U,GT3,T,1,1,at_home,other,2,1,yes,no,no,yes,no,no,4,3,2,1,4,5,2
F,17,R,GT3,T,4,3,teacher,other,2,3,yes,no,yes,yes,yes,yes,4,4,2,1,1,4,0
F,19,U,GT3,T,3,3,other,other,1,4,yes,no,yes,yes,yes,no,4,3,3,1,2,3,4
M,17,U,LE3,T,4,4,services,other,1,2,yes,no,no,yes,yes,yes,5,3,5,4,5,,15
F,16,U,GT3,A,2,2,other,other,1,2,yes,no,no,yes,yes,no,3,3,4,1,1,4,0
M,18,U,GT3,T,2,2,services,other,1,2,yes,no,yes,yes,yes,no,4,4,4,2,4,5,10
F,17,R,LE3,T,4,4,services,other,1,1,yes,no,no,yes,no,no,5,2,1,1,2,3,6
F,17,U,LE3,T,3,2,other,other,2,2,no,no,no,yes,yes,no,4,4,4,1,3,1,2
F,17,U,GT3,T,4,3,other,other,1,2,no,no,no,yes,yes,yes,3,,5,2,4,1,16
M,18,U,LE3,T,3,3,services,health,1,2,yes,no,no,yes,yes,no,3,2,4,2,4,4,10
F,17,U,GT3,T,2,3,at_home,other,2,1,yes,no,no,yes,no,no,3,3,3,1,4,3,4
F,17,U,GT3,T,2,2,at_home,at_home,1,3,yes,no,yes,yes,yes,no,4,3,3,1,1,4,0
F,17,R,GT3,T,2,1,at_home,services,2,2,yes,no,yes,yes,yes,no,4,2,5,1,2,5,0
F,17,U,GT3,,1,1,at_home,other,1,3,yes,no,yes,yes,no,yes,4,3,4,1,1,5,12
F,16,U,GT3,T,2,3,services,teacher,1,2,no,no,no,yes,yes,no,2,3,1,1,1,3,0
M,18,U,GT3,T,2,2,other,other,2,2,yes,yes,no,yes,yes,no,3,3,3,5,5,4,9
F,16,U,GT3,T,4,4,teacher,services,1,3,yes,no,yes,yes,yes,no,5,3,2,1,1,5,4
F,18,R,GT3,T,3,1,other,other,1,2,no,no,yes,yes,yes,yes,5,3,3,1,1,4,4
F,17,U,GT3,T,3,2,other,other,1,2,no,no,yes,yes,yes,no,5,3,4,1,3,3,2
M,17,U,LE3,T,2,3,services,services,1,2,yes,no,no,yes,yes,no,5,3,3,1,3,3,0
M,18,U,LE3,T,2,1,at_home,other,4,2,yes,no,yes,yes,yes,yes,4,3,2,4,5,3,2
F,17,U,GT3,A,2,1,other,other,2,3,no,no,yes,yes,yes,yes,3,2,3,1,2,3,0
F,17,U,LE3,T,4,3,health,other,1,2,no,no,yes,yes,yes,yes,3,2,3,1,2,3,0
M,17,R,GT3,T,2,2,other,other,2,2,yes,no,yes,yes,yes,no,4,5,2,1,1,1,0
M,17,U,GT3,T,4,4,teacher,teacher,1,2,yes,no,yes,yes,yes,yes,4,5,5,1,3,2,0
M,16,U,GT3,T,4,4,health,other,1,2,yes,no,yes,yes,yes,no,4,2,4,2,4,1,0
M,16,U,LE3,T,1,1,other,other,2,2,yes,no,no,yes,yes,no,3,4,2,1,1,5,2
M,16,U,GT3,T,3,2,at_home,other,2,3,no,no,yes,yes,yes,yes,5,3,3,1,3,2,0
M,17,U,LE3,T,2,2,other,other,1,2,no,no,yes,yes,yes,yes,4,4,2,5,5,4,0
F,16,U,GT3,T,2,1,other,other,1,1,no,no,no,yes,yes,,4,5,2,1,1,5,4
F,16,U,GT3,A,4,1,other,other,1,2,no,no,yes,yes,yes,yes,5,3,3,1,2,5,0
F,18,U,LE3,A,2,4,services,other,2,2,yes,no,no,yes,yes,no,4,3,3,1,1,3,18
F,18,U,LE3,T,2,2,at_home,services,1,2,yes,no,no,yes,yes,yes,5,3,1,1,1,5,16
F,18,U,GT3,T,3,3,other,other,2,1,no,no,no,no,yes,no,4,1,1,1,1,3,14
M,18,U,GT3,T,2,2,other,at_home,1,1,yes,no,yes,no,yes,yes,4,4,3,2,2,1,26
M,17,U,GT3,T,4,4,teacher,teacher,1,1,yes,no,yes,yes,yes,no,4,2,1,1,2,5,6
F,17,U,GT3,T,3,2,other,other,1,2,no,no,yes,yes,no,no,5,4,2,1,1,3,4
F,17,U,LE3,T,1,1,at_home,at_home,1,3,yes,no,yes,yes,yes,yes,4,3,2,1,2,4,10
F,16,U,GT3,T,1,2,other,other,1,1,no,no,no,no,yes,no,5,3,5,1,2,5,4
F,17,R,GT3,T,2,1,at_home,services,3,2,no,no,yes,yes,no,no,2,1,1,1,1,3,2
F,17,R,LE3,A,1,4,other,other,4,1,yes,no,no,yes,yes,no,5,5,4,1,1,5,14
M,18,U,GT3,T,2,2,other,services,1,2,no,no,no,no,yes,no,5,5,4,3,5,2,16
F,17,U,LE3,A,2,2,other,other,1,1,yes,no,no,no,yes,no,3,1,2,1,1,1,8
F,17,R,LE3,T,1,1,at_home,other,2,3,no,no,yes,yes,yes,no,4,3,3,1,3,,4
F,17,U,LE3,A,4,2,teacher,other,1,2,yes,no,yes,yes,no,no,4,3,2,1,1,4,4
M,17,U,LE3,T,4,3,health,other,2,2,no,no,yes,yes,yes,yes,2,5,5,1,4,5,8
M,17,R,LE3,A,4,4,teacher,other,2,2,yes,no,no,yes,yes,no,3,3,3,2,3,4,0
M,16,U,LE3,T,4,3,teacher,other,1,1,no,no,yes,yes,yes,no,5,4,5,1,1,3,7
M,16,U,GT3,T,4,4,services,services,1,1,no,yes,yes,yes,yes,no,5,3,2,1,2,5,4
F,17,U,GT3,T,4,4,teacher,services,1,2,yes,yes,no,yes,yes,yes,5,3,1,1,4,5,2
M,17,R,GT3,T,1,1,other,other,2,3,no,no,no,yes,yes,yes,4,3,3,1,1,1,2
F,17,U,GT3,T,3,3,services,other,2,3,yes,no,no,yes,yes,yes,4,2,2,2,3,5,10
F,17,U,GT3,T,1,1,at_home,other,1,2,no,no,no,yes,no,yes,4,3,2,1,1,4,10
F,18,U,GT3,T,2,1,other,other,2,3,yes,no,no,yes,yes,yes,4,4,4,1,1,3,10
M,16,U,GT3,T,2,1,other,other,3,1,no,no,no,yes,yes,no,4,3,3,1,1,4,7
F,17,U,GT3,T,1,1,other,services,1,2,yes,no,no,yes,no,no,4,3,4,1,2,5,4
M,17,U,GT3,T,2,3,other,other,2,1,no,no,no,yes,yes,no,5,2,2,1,1,2,2
M,22,U,GT3,,3,1,services,services,1,1,no,no,no,no,yes,yes,5,4,5,5,5,1,12
M,18,R,LE3,T,3,3,other,services,1,2,yes,no,no,yes,yes,yes,4,3,3,1,3,5,8
M,16,U,GT3,,0,2,other,other,1,1,no,no,no,yes,yes,no,4,3,2,2,4,5,0
M,18,U,GT3,T,3,2,services,other,2,1,no,no,no,no,yes,no,4,4,5,2,4,5,8
M,16,U,GT3,T,3,3,at_home,other,3,2,yes,no,no,yes,yes,no,5,3,3,1,3,2,4
M,18,U,GT3,T,2,1,services,services,1,1,no,no,no,no,yes,no,3,2,5,2,5,5,4
M,16,R,GT3,T,2,1,other,other,2,1,no,no,yes,yes,no,no,3,3,2,1,3,3,2
M,17,R,GT3,T,2,1,other,other,1,1,no,no,no,yes,yes,no,4,4,2,2,4,5,0
M,17,U,LE3,T,1,1,health,other,2,1,yes,no,yes,yes,yes,no,4,4,4,1,2,5,0
F,18,U,LE3,A,2,1,other,other,1,2,yes,no,no,yes,yes,yes,4,3,4,1,3,5,2
F,17,U,LE3,T,4,2,teacher,services,1,4,yes,no,yes,yes,yes,no,4,2,3,1,1,4,2
F,19,U,GT3,T,2,2,services,services,1,2,yes,no,no,yes,yes,no,4,3,3,1,1,5,0
M,18,U,LE3,T,2,1,services,other,3,2,no,no,yes,no,yes,no,4,4,5,4,4,5,4
F,17,R,GT3,T,4,2,other,other,1,3,yes,no,yes,yes,yes,no,4,3,4,1,3,5,2
F,18,U,LE3,T,1,1,other,at_home,1,3,yes,no,no,yes,no,no,4,4,3,2,3,3,4
F,18,R,GT3,T,2,2,other,other,1,2,no,no,no,yes,no,no,3,2,3,1,1,5,4
M,19,U,,A,4,3,services,at_home,1,2,yes,no,no,yes,yes,no,4,3,1,1,1,1,4
M,18,U,GT3,T,2,1,other,other,1,2,no,no,yes,yes,yes,no,5,2,4,1,2,4,2
M,17,R,GT3,T,2,2,other,services,2,1,no,no,no,no,no,no,5,2,2,1,1,4,0
F,17,U,LE3,T,2,2,services,services,1,4,no,no,yes,yes,yes,yes,3,4,1,1,1,2,2
F,20,R,GT3,T,2,1,other,other,2,2,yes,yes,yes,no,yes,yes,1,2,3,1,2,2,8
F,18,U,GT3,T,4,3,services,other,1,2,yes,no,no,yes,yes,yes,3,1,2,1,3,2,2
M,18,U,GT3,T,4,3,teacher,other,1,2,yes,no,no,yes,yes,no,4,3,2,1,1,3,2
M,18,R,GT3,T,3,2,other,other,1,3,no,no,yes,yes,no,no,5,3,2,1,1,,2
F,17,U,GT3,T,3,3,other,other,1,3,no,no,yes,yes,no,no,3,2,3,1,1,4,2
F,18,U,GT3,T,2,2,at_home,services,1,3,yes,no,yes,yes,yes,yes,4,3,3,1,1,3,0
M,17,U,GT3,T,2,2,other,other,2,1,no,no,no,no,yes,no,4,,4,2,3,4,8
M,18,R,LE3,A,3,4,other,other,2,2,yes,no,yes,yes,yes,no,4,2,5,3,4,1,6
M,17,U,GT3,T,3,1,services,other,1,2,no,no,yes,yes,yes,yes,5,4,4,3,4,5,0
F,18,R,GT3,T,4,4,teacher,other,2,2,no,no,yes,yes,yes,no,4,3,4,2,2,4,8
M,18,U,GT3,T,4,2,health,other,1,2,yes,no,yes,yes,yes,yes,5,4,5,1,3,5,4
F,18,R,GT3,T,2,1,other,other,2,2,yes,no,no,no,yes,yes,4,3,5,1,2,3,12
F,19,U,GT3,T,3,3,other,services,1,2,yes,no,yes,yes,yes,no,4,3,5,3,3,5,16
F,18,U,GT3,T,2,3,other,services,1,4,yes,no,yes,yes,yes,,4,,5,1,3,2,10
F,18,U,LE3,T,1,1,other,other,2,2,yes,no,no,yes,no,no,4,4,3,1,1,3,2
M,17,R,GT3,T,1,2,at_home,at_home,1,2,yes,no,yes,yes,no,yes,3,5,2,2,2,1,2
F,18,U,GT3,T,2,1,other,other,1,2,yes,no,no,yes,yes,yes,4,2,5,1,2,1,8
F,17,U,GT3,T,2,4,at_home,health,2,2,yes,no,no,yes,yes,yes,4,3,3,1,1,1,6
F,17,U,LE3,T,2,2,services,other,2,2,yes,no,no,yes,yes,yes,4,4,4,2,3,5,6
F,18,R,GT3,A,3,2,other,services,2,2,no,no,no,no,yes,yes,4,1,1,1,1,5,15
M,18,U,GT3,T,4,4,teacher,services,2,1,no,no,yes,yes,yes,no,3,2,4,1,4,3,6
F,18,U,GT3,T,4,4,health,health,1,2,yes,no,yes,yes,yes,yes,2,4,4,1,1,4,2
F,17,U,GT3,T,2,2,other,services,3,3,yes,no,no,yes,yes,yes,4,2,3,1,1,1,8
F,19,R,GT3,T,3,2,services,services,1,2,yes,no,no,no,yes,no,3,3,3,4,3,3,0
M,18,U,LE3,T,4,3,teacher,services,2,1,no,no,yes,yes,yes,no,4,2,3,1,2,1,0
M,18,U,GT3,T,1,2,at_home,other,2,1,no,no,no,no,yes,no,3,4,4,2,4,4,10
M,17,U,LE3,A,4,1,services,other,2,1,no,no,yes,yes,yes,yes,4,5,4,2,4,5,22
M,17,U,LE3,A,3,2,teacher,services,1,1,no,no,no,yes,yes,no,4,4,4,3,4,3,18
F,18,R,LE3,T,1,1,at_home,other,2,4,yes,no,yes,yes,no,no,5,2,2,1,1,3,2
F,18,U,GT3,T,1,1,other,other,2,2,no,no,yes,yes,yes,no,5,4,4,1,1,4,0
F,17,U,GT3,T,2,2,other,other,1,2,yes,no,no,yes,yes,no,5,4,5,1,2,5,12
F,18,U,GT3,T,2,1,other,other,2,2,no,no,yes,yes,yes,yes,4,3,1,1,1,5,10
M,17,U,GT3,T,1,1,other,other,1,2,no,no,no,yes,yes,no,4,3,3,1,2,4,0
F,18,U,GT3,T,2,2,at_home,at_home,1,3,yes,no,no,yes,yes,no,4,3,3,1,2,2,0
F,17,U,GT3,T,1,1,services,teacher,1,3,yes,no,no,yes,yes,no,4,3,3,1,1,3,0
M,18,U,GT3,T,2,1,services,services,1,3,no,no,yes,yes,yes,no,4,2,4,1,3,2,0
M,18,U,LE3,,4,4,teacher,teacher,1,2,yes,no,yes,yes,yes,no,5,4,3,1,1,2,0
M,18,U,GT3,T,4,2,teacher,other,1,2,yes,no,yes,yes,yes,yes,4,3,2,1,4,5,2
F,17,U,GT3,T,4,3,health,services,1,3,yes,no,no,yes,yes,no,4,2,2,1,2,3,0
F,17,R,LE3,T,3,1,services,other,2,4,yes,no,no,yes,no,no,3,1,2,1,1,3,0
M,18,R,LE3,T,3,2,services,other,2,3,yes,no,yes,yes,yes,no,5,4,2,1,1,4,0
M,17,U,GT3,T,3,3,health,other,1,1,yes,no,no,yes,yes,no,4,4,3,1,3,5,0
F,19,U,GT3,T,4,4,health,other,2,2,yes,no,yes,yes,yes,no,2,3,4,2,3,2,2
F,18,U,LE3,T,4,3,other,other,2,2,yes,no,no,yes,yes,yes,4,4,5,1,2,2,0
F,18,U,GT3,,4,3,other,other,1,4,yes,no,no,yes,yes,no,4,3,3,1,1,3,0
M,18,U,LE3,T,4,4,teacher,teacher,1,1,yes,no,no,yes,yes,yes,1,4,2,2,2,,0
F,18,U,LE3,A,4,4,health,other,1,2,yes,yes,no,yes,yes,yes,4,2,4,1,1,4,0
M,17,U,LE3,T,4,4,other,teacher,2,1,no,no,no,yes,yes,no,4,1,1,2,2,5,0
F,17,R,GT3,T,4,4,services,services,2,3,yes,no,yes,yes,yes,no,5,3,4,1,1,5,0
F,17,U,GT3,T,4,2,other,other,2,3,yes,no,no,yes,yes,no,4,3,3,1,1,3,0
F,17,U,GT3,T,3,2,health,health,1,4,yes,no,yes,yes,yes,no,5,2,2,1,2,5,0
M,19,R,LE3,T,2,1,at_home,services,2,3,no,no,yes,yes,yes,yes,4,3,1,1,1,5,0
M,20,U,GT3,A,3,2,services,other,1,1,no,no,yes,yes,no,no,5,5,3,1,1,5,0
M,19,R,GT3,T,3,3,other,services,1,2,no,no,yes,yes,no,yes,4,5,3,1,2,5,0
F,18,U,GT3,T,1,4,other,teacher,1,2,yes,no,no,yes,no,yes,3,4,4,1,2,5,2
F,18,U,GT3,T,2,1,services,other,2,2,yes,no,yes,yes,yes,no,5,3,3,1,2,1,2
F,17,U,GT3,T,2,3,other,other,2,2,no,no,yes,yes,yes,yes,4,2,1,1,1,3,2
F,17,R,GT3,T,4,4,teacher,teacher,1,1,no,no,yes,yes,yes,no,4,4,4,1,1,5,2
F,18,U,GT3,T,4,3,other,other,1,3,yes,no,yes,yes,yes,yes,4,3,4,1,1,5,2
F,18,U,LE3,T,4,3,health,services,2,1,yes,no,no,yes,yes,no,3,2,4,1,4,1,8
F,17,R,GT3,T,3,4,at_home,services,1,3,yes,no,yes,yes,yes,no,4,3,4,2,5,5,2
F,18,U,GT3,T,3,3,at_home,other,1,2,yes,no,no,yes,yes,no,4,1,4,1,1,3,8
M,19,U,GT3,T,4,2,health,other,2,2,yes,no,yes,yes,yes,yes,5,4,4,1,1,1,9
F,18,U,GT3,T,4,4,teacher,other,1,2,yes,no,no,yes,yes,no,4,4,4,3,3,5,0
F,18,U,,T,3,4,other,other,1,1,yes,no,yes,yes,yes,yes,5,4,4,1,1,1,4
F,17,U,GT3,T,4,4,health,health,1,1,no,no,yes,yes,yes,no,5,3,4,1,2,5,2
F,17,U,GT3,A,4,3,services,services,1,2,yes,no,no,yes,yes,yes,5,2,2,1,2,5,14
F,17,U,LE3,A,3,3,services,other,1,2,yes,no,no,yes,yes,no,5,3,3,1,1,5,0
F,17,U,LE3,T,2,1,other,other,1,2,no,no,yes,yes,yes,no,4,2,3,2,2,2,2
M,18,U,LE3,T,4,4,other,other,1,1,yes,no,no,yes,yes,no,4,2,5,3,4,5,2
F,19,U,GT3,T,1,1,other,other,3,3,no,no,yes,no,no,yes,1,5,5,4,3,5,12
F,19,U,LE3,A,1,1,other,other,3,2,yes,no,no,yes,yes,yes,5,3,4,1,1,4,2
F,18,U,GT3,T,2,2,other,other,1,1,yes,no,yes,yes,yes,,4,3,5,2,4,5,2
F,17,U,GT3,T,2,2,other,other,1,2,yes,no,no,yes,no,yes,4,2,2,1,1,3,4
F,17,R,LE3,T,2,2,services,services,1,3,yes,no,yes,yes,yes,no,3,3,2,2,2,3,0
F,17,U,GT3,T,3,1,services,services,1,3,yes,no,no,yes,yes,no,3,4,3,2,3,5,0
F,17,U,LE3,T,0,2,at_home,at_home,2,3,no,no,no,yes,yes,no,3,3,3,2,3,2,0
F,18,U,GT3,T,1,1,other,other,2,3,no,no,yes,yes,yes,no,4,5,5,1,2,2,0
M,18,U,GT3,T,4,4,other,other,1,3,no,no,yes,yes,yes,no,4,3,3,2,2,3,0
M,17,U,GT3,T,3,3,other,services,1,1,no,no,yes,yes,yes,no,4,3,5,3,5,5,0
M,17,R,GT3,T,2,2,services,other,4,1,yes,no,no,yes,yes,no,4,4,5,5,5,4,2
F,17,U,GT3,T,4,4,teacher,services,1,3,yes,no,yes,yes,yes,no,5,4,4,1,3,4,0
F,17,U,GT3,,4,4,teacher,teacher,2,3,yes,no,no,yes,yes,yes,4,3,3,1,2,4,4
F,17,U,GT3,T,3,3,at_home,other,1,1,yes,yes,yes,yes,yes,no,4,2,5,2,5,5,2
M,18,U,LE3,T,2,2,other,other,1,4,yes,yes,yes,yes,yes,no,4,5,5,2,4,5,0
M,19,R,GT3,T,3,2,at_home,services,1,1,yes,no,no,yes,no,yes,5,3,4,2,2,,0
F,18,U,GT3,T,2,2,at_home,other,4,2,no,no,yes,yes,no,yes,4,2,5,1,1,2,2
F,17,R,GT3,T,2,4,at_home,other,1,3,yes,no,no,yes,yes,yes,4,4,3,1,1,5,0
M,18,U,GT3,T,2,2,other,other,1,1,no,no,no,yes,yes,no,5,4,2,1,2,5,6
F,18,U,GT3,T,3,3,services,services,1,2,no,no,yes,yes,yes,no,5,3,4,1,1,4,8
F,18,U,LE3,T,2,2,other,other,1,2,no,no,yes,yes,yes,yes,4,3,3,1,1,2,0
F,18,R,GT3,T,2,2,at_home,other,2,4,no,no,yes,yes,no,no,4,4,4,1,1,4,6
F,17,U,GT3,T,3,4,services,other,1,3,no,no,no,yes,yes,no,4,4,5,1,3,5,8
F,17,U,GT3,T,3,2,other,other,1,2,yes,no,no,yes,yes,yes,4,3,2,2,3,2,0
F,18,U,LE3,T,3,3,services,services,1,4,yes,no,no,yes,yes,no,5,3,3,1,1,1,4
F,17,R,GT3,A,3,2,other,other,1,2,yes,no,no,yes,yes,no,4,3,3,2,3,2,0
M,18,U,GT3,T,4,4,teacher,services,1,2,yes,no,yes,yes,yes,no,4,3,3,2,2,2,0
M,18,U,LE3,T,3,4,services,other,1,2,no,no,yes,yes,yes,yes,4,3,3,1,3,5,6
F,17,U,GT3,A,2,2,at_home,at_home,1,2,yes,no,no,yes,yes,yes,3,3,1,1,2,4,18
F,18,U,GT3,T,2,3,at_home,other,1,3,yes,no,no,yes,yes,no,4,3,3,1,2,3,0
F,18,U,GT3,T,3,2,other,services,1,3,no,no,no,yes,yes,yes,5,4,3,2,3,1,4
M,18,R,GT3,T,4,3,teacher,services,1,3,no,no,no,yes,yes,yes,5,3,2,1,2,4,4
M,18,U,GT3,T,4,3,teacher,other,1,3,yes,no,no,yes,yes,yes,5,4,5,2,3,5,0
F,17,U,GT3,T,4,3,health,other,1,3,yes,no,yes,yes,yes,yes,4,4,3,1,3,4,0
F,17,U,GT3,T,2,1,services,other,2,2,yes,no,yes,yes,yes,yes,4,3,4,2,2,1,10
F,17,U,GT3,T,2,1,services,other,1,2,yes,no,yes,yes,yes,no,4,3,5,2,4,4,4
F,19,U,LE3,A,2,3,at_home,other,2,1,no,no,no,no,yes,no,2,2,3,3,4,5,16
F,17,U,GT3,T,3,1,other,at_home,1,1,yes,yes,no,yes,yes,yes,4,1,2,1,1,3,6
F,21,U,,T,4,4,other,other,1,3,no,yes,yes,yes,yes,no,3,3,2,1,1,5,0
M,18,U,LE3,T,2,2,services,services,1,2,yes,no,yes,no,yes,no,4,4,4,1,3,3,11
M,18,U,LE3,A,3,4,other,other,1,2,no,no,yes,yes,yes,yes,4,3,5,1,4,2,9
F,17,U,GT3,T,2,2,services,services,1,2,yes,no,yes,yes,yes,no,4,3,4,1,3,4,0
M,17,U,LE3,A,4,4,health,other,1,3,yes,no,no,yes,yes,no,4,4,2,1,2,4,2
F,18,U,LE3,T,4,2,teacher,other,1,2,yes,no,yes,yes,yes,no,4,,2,1,1,3,0
M,21,R,LE3,T,1,1,at_home,other,2,2,yes,no,yes,no,yes,yes,5,3,3,5,2,4,21
F,20,R,GT3,T,1,1,other,other,2,3,no,no,no,yes,yes,yes,3,2,2,1,3,3,8
F,19,U,GT3,T,4,4,teacher,other,1,1,yes,no,no,yes,yes,yes,3,2,5,4,4,5,5
M,17,U,LE3,A,3,2,other,other,1,2,yes,no,no,yes,yes,no,4,4,4,1,2,5,10
F,18,U,GT3,T,3,2,at_home,other,1,3,yes,no,no,yes,yes,yes,4,3,4,1,2,2,5
M,18,R,GT3,T,2,3,other,services,1,1,no,no,no,yes,yes,no,3,1,3,4,5,4,13
M,19,U,GT3,T,2,1,other,other,1,1,no,no,no,yes,yes,no,5,3,4,1,4,4,10
F,18,U,LE3,A,2,2,services,other,2,2,yes,no,no,yes,yes,no,4,1,4,1,3,4,10
F,20,U,GT3,T,1,0,other,other,2,1,no,no,no,yes,yes,yes,5,3,1,1,1,5,5
F,18,U,GT3,T,3,2,services,other,1,2,yes,no,yes,yes,yes,yes,3,1,2,1,2,1,4
F,16,U,GT3,,1,3,at_home,other,2,1,yes,no,no,no,yes,yes,4,3,3,1,3,5,11
F,16,R,GT3,T,2,2,other,other,2,2,yes,no,yes,yes,yes,no,4,4,4,1,1,5,0
F,15,R,GT3,T,1,1,at_home,services,1,1,yes,no,no,yes,no,yes,4,1,3,1,1,2,6
F,15,R,GT3,T,3,3,at_home,other,2,1,yes,no,no,yes,yes,,5,4,4,2,3,5,4
F,16,R,GT3,T,2,3,at_home,services,2,2,no,no,no,yes,no,no,4,5,2,1,2,5,0
F,15,R,LE3,T,2,1,at_home,other,2,1,no,no,no,no,no,no,1,3,4,1,1,1,0
M,16,R,LE3,A,4,4,at_home,other,1,2,yes,no,no,yes,no,no,5,3,2,1,3,2,5
